종목코드,종목명,사업부문,매출유형,매출품목명,구분,2022_12 매출액,2023_12 매출액,2024_12 매출액
95570,AJ네트웍스,렌탈부문,,"파렛트, IT솔루션기기,산업안전장비 등",수출,0,0,0
95570,AJ네트웍스,렌탈부문,,"파렛트, IT솔루션기기,산업안전장비 등",내수,0,0,0
95570,AJ네트웍스,렌탈부문,,"파렛트, IT솔루션기기,산업안전장비 등",미분류,622886,581618,633736
95570,AJ네트웍스,렌탈부문,,"파렛트, IT솔루션기기,산업안전장비 등",로컬,0,0,0
95570,AJ네트웍스,렌탈부문,,"파렛트, IT솔루션기기,산업안전장비 등",비중,52.18%,62.10%,62.49%
95570,AJ네트웍스,창고 및 유통부문,,"창고, 에너지, H/W 등",수출,0,0,0
95570,AJ네트웍스,창고 및 유통부문,,"창고, 에너지, H/W 등",내수,0,0,0
95570,AJ네트웍스,창고 및 유통부문,,"창고, 에너지, H/W 등",미분류,508641,326446,344770
95570,AJ네트웍스,창고 및 유통부문,,"창고, 에너지, H/W 등",로컬,0,0,0
95570,AJ네트웍스,창고 및 유통부문,,"창고, 에너지, H/W 등",비중,42.61%,34.86%,34.00%
95570,AJ네트웍스,기타부문,,부동산 관리 등,수출,0,0,0
95570,AJ네트웍스,기타부문,,부동산 관리 등,내수,0,0,0
95570,AJ네트웍스,기타부문,,부동산 관리 등,미분류,62124,28461,35650
95570,AJ네트웍스,기타부문,,부동산 관리 등,로컬,0,0,0
95570,AJ네트웍스,기타부문,,부동산 관리 등,비중,5.20%,3.04%,3.52%
95570,AJ네트웍스,총계,총계,총계,,1193651,936525,1014156
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),배당수익,배당수익,수출,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),배당수익,배당수익,내수,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),배당수익,배당수익,미분류,28632,30343,14239
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),배당수익,배당수익,로컬,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),배당수익,배당수익,비중,0.66%,0.62%,0.27%
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),경영자문수수료 수익,경영자문수수료 수익,수출,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),경영자문수수료 수익,경영자문수수료 수익,내수,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),경영자문수수료 수익,경영자문수수료 수익,미분류,5180,5926,5671
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),경영자문수수료 수익,경영자문수수료 수익,로컬,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),경영자문수수료 수익,경영자문수수료 수익,비중,0.12%,0.12%,0.11%
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),상표권 수익,상표권 수익,수출,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),상표권 수익,상표권 수익,내수,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),상표권 수익,상표권 수익,미분류,5555,7103,7278
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),상표권 수익,상표권 수익,로컬,0,0,0
6840,AK홀딩스,지주사업 부문: 에이케이홀딩스(주),상표권 수익,상표권 수익,비중,0.13%,0.14%,0.14%
6840,AK홀딩스,화학 부문: 애경케미칼(주)/가소제사업부문,"제품, 상품","PA, 가소제, 윤활기유 등",수출,545501,627583,587734
6840,AK홀딩스,화학 부문: 애경케미칼(주)/가소제사업부문,"제품, 상품","PA, 가소제, 윤활기유 등",내수,469222,237907,193526
