종목코드,종목명,주소,설립일,대표자,전화번호,홈페이지
95570,AJ네트웍스,서울시 송파구 정의로 8길 9 (AJ빌딩),2000-02-10,곽정호,02-6240-0800,http://www.ajnetworks.co.kr
6840,AK홀딩스,서울시 마포구 양화로 188(동교동),1970-10-13,"고준, 채형석 (각자 대표)",02-6923-2921,http://www.aekyunggroup.co.kr
27410,BGF,서울시 강남구 테헤란로 405(삼성동),1994-12-01,홍정국,,http://www.bgf.co.kr
282330,BGF리테일,서울시 강남구 테헤란로 405 BGF사옥,2017-11-01,민승배,02-528-6829,http://www.bgfretail.com
138930,BNK금융지주,부산시 남구 문현금융로 30 (문현동),2011-03-15,빈대인,051-620-3000,http://www.bnkfg.com
1460,BYC,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,1955-05-13,김 대 환,02-840-3114,http://home.byc.co.kr
1040,CJ,서울시 중구 동호로 330 CJ제일제당센터,1953-08-01,"손경식, 김홍기",02-726-8114,http://www.cj.net
79160,CJ CGV,서울시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),1999-03-31,정종민,02-371-6660,http://www.cgv.co.kr
120,CJ대한통운,서울특별시 종로구 종로5길 7(청진동) Tower 8,1930-11-15,"신영수, 민영학 (각자 대표)",02-3782-0114,http://www.cjlogistics.com
11150,CJ씨푸드,경기도 성남시 중원구 둔촌대로388번길 32,1976-03-15,임항순,031-730-9114,http://www.cjseafood.net
97950,CJ제일제당,서울시 중구 동호로 330 CJ제일제당센터,2007-09-01,"손경식,강신호(각자 대표)",02-6740-1454,http://www.cj.co.kr
480,시알홀딩스,전라남도 광양시 산업로 55 본관 3층,1947-05-15,강문수,061-798-8114,http://www.chosunref.co.kr
590,CS홀딩스,경북 포항시 남구 괴동로 43 (장흥동),1949-01-12,장원영,02-3459-9363,http://www.chosunwelding.com
12030,DB,"서울시 강남구 삼성로 96길 23, 7층",1977-03-15,"문덕식,강운식",02-2136-6000,http://www.dbinc.co.kr
16610,DB증권,서울시 영등포구 국제금융로 8길 32 DB금융투자빌딩,1982-12-20,곽봉석,02-369-3000,http://www.db-fi.com
5830,DB손해보험,서울시 강남구 테헤란로 432 DB금융센터,1968-11-01,"김정남, 정종표",,http://www.idbins.com
990,DB하이텍,경기도 부천시 수도로 90,1953-04-28,조기석,032-680-4700,http://www.dbhitek.com
139130,iM금융지주,대구시 북구 옥산로 111 대구은행 제2본점 9층,2011-05-17,황병우,053-740-7900,http://www.dgbfg.co.kr
300,DH오토넥스,전북특별자치도 김제시 용지면 용지로 55 김제(본사),1967-12-30,최준용,031-737-7000,http://www.dayouplus.co.kr
1530,디아이동일,"서울시 강남구 테헤란로 516, 정헌빌딩 8층",1955-08-05,"서태원, 손재선",02-2222-3071,http://www.dong-il.com
210,DL,서울특별시 종로구 통일로 134,1939-10-10,김종현,02-2011-7114,http://www.dlholdings.co.kr
375500,DL이앤씨,서울특별시 종로구 통일로 134,2021-01-04,박상신,02-2011-7114,http://www.dlenc.co.kr
7340,DN오토모티브,경상남도 양산시 산막공단북11길 103,1971-06-23,김상헌 김인환,055-380-5800,http://www.dnautomotive.com
4840,DRB동일,부산시 금정구 공단동로 55번길 28,1945-09-30,류영식,051-520-9000,http://www.drbworld.com
155660,DSR,부산시 강서구 녹산산업중로 192번길 7,1965-04-01,홍석빈,051-979-0500,http://www.dsr.com
69730,DSR제강,전남 순천시 서면 산단1길 15,1971-09-01,"홍하종, 홍석빈 (각자 대표)",061-729-3500,http://www.dsr.com
17860,DS단석,경기도 시흥시 협력로 165 (정왕동),1984-07-01,"한승욱, 김종완",031-488-0721,http://www.dsdansuk.com
17940,E1,"서울시 강남구 영동대로 517, 아셈타워 13,14층",1984-09-06,"구자용, 천정식 (각자 대표이사)",02-3441-4114,http://www.e1.co.kr
365550,ESR켄달스퀘어리츠,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층",2020-02-20,조주현,02-6205-0467,http://www.esrks-reit.com
383220,F&F,서울특별시 강남구 테헤란로8길 8 -,2021-05-03,김창수,02-520-0027,http://www.fnf.co.kr
7700,F&F 홀딩스,서울특별시 강남구 테헤란로8길 8 센터포인트강남,1972-02-24,박의헌,02-520-0001,http://www.fnfholdings.com
