종목명,종목코드,짧은 요약
AJ네트웍스,95570,"AJ네트웍스는 렌탈 회사로, 파렛트나 IT기기, 산업안전장비를 빌려주는 일을 해. 창고 임대도 하고, 기름 도매와 프랜차이즈 사업도 해. 최근에는 로봇이나 키오스크 같은 새로운 렌탈 사업에도 도전 중이야. 다양한 분야에 도전하면서 사업을 키우고 있어."
AK홀딩스,6840,"AK홀딩스는 여러 자회사를 관리하는 지주회사야. 화학, 생활용품, 항공, 백화점, 부동산 등 여러 분야의 회사를 운영해. 자회사의 브랜드나 상표도 관리하고, 경영을 도와주는 역할을 해. 애경이라는 이름을 들으면 보통 이 회사와 관련 있어."
BGF,27410,BGF는 원래 편의점 사업을 하려고 만들어졌어. 나중에 투자회사인 BGF와 운영회사인 BGF리테일로 나뉘었지. 지금은 고기능성 플라스틱이나 반도체 소재 같은 걸 만드는 자회사가 많아. 큰 회사들을 거느리는 지주회사야.
BGF리테일,282330,"BGF리테일은 CU 편의점을 운영하는 회사야. 음식, 담배, 생필품 같은 걸 팔고 물류랑 식품제조도 함께 해. 몽골, 말레이시아, 카자흐스탄에도 편의점을 열며 해외 진출도 하고 있어. 국내 편의점 운영 경험을 살려 해외에서도 잘 해보려는 중이야."
BNK금융지주,138930,"BNK금융지주는 부산은행을 중심으로 만들어진 금융 그룹이야. 은행, 증권, 자산운용 등 여러 금융회사를 관리하고 있어. 스타트업에 투자하고 새로운 사업도 키우려고 하고 있어. BNK라는 이름으로 하나의 금융 브랜드가 되려고 해."
BYC,1460,BYC는 속옷 브랜드로 잘 알려져 있어. 원단부터 완제품까지 직접 만들 수 있는 시스템을 갖추고 있어. 전국 도소매점과 온라인에서 속옷을 팔고 있어. 건설과 임대 사업도 함께 하고 있어.
CJ,1040,"CJ는 우리가 잘 아는 큰 그룹의 지주회사야. 식품, 바이오, 물류, 엔터 같은 분야의 회사를 거느리고 있어. CJ 브랜드를 잘 키우고 지켜주는 역할도 해. 전 세계 사람들의 생활을 이끄는 걸 목표로 하고 있어."
CJ CGV,79160,CJ CGV는 영화관을 운영하는 회사야. 한국뿐 아니라 다른 나라에도 극장이 많아. 특별한 기술로 만든 영화관이나 콘텐츠를 선보이고 있어. 더 좋은 관람 환경을 만들고 있어.
CJ대한통운,120,CJ대한통운은 택배회사로 유명하지. 하루에 920만 박스를 처리할 수 있을 만큼 큰 시스템을 가지고 있어. 전 세계 37개국에서 물류 사업도 하고 있어. AI나 로봇 기술로 더 똑똑한 물류를 꿈꾸고 있어.
CJ씨푸드,11150,"CJ씨푸드는 어묵, 김 같은 가공식품을 만드는 회사야. 오래전부터 어묵으로 유명했고, 지금은 다양한 수산가공식품을 만들어. 다른 회사를 합병해서 더 큰 회사가 되었어. 건강한 식품을 만드는 데 힘쓰고 있어."
CJ제일제당,97950,"CJ제일제당은 음식과 바이오 관련 제품을 만드는 회사야. 우리가 먹는 조미료, 햄, 냉동식품 같은 걸 만들지. 동물 사료나 아미노산 같은 것도 만들고 있어. 좋은 기술로 새로운 음식도 계속 개발 중이야."
시알홀딩스,480,시알홀딩스는 내화물 같은 산업재를 만드는 회사를 거느린 지주회사야. 옛날에는 화학 회사였는데 지금은 브랜드를 관리하고 새로운 사업을 찾는 일을 해. 골프장이나 부동산도 운영해. 전략적으로 여러 회사를 조율해.
CS홀딩스,590,CS홀딩스는 용접재료를 만드는 회사에서 출발했어. 지금은 여러 자회사를 거느린 투자 지주회사가 되었지. 자동차나 건설에 쓰이는 용접기술을 가지고 있어. 뿌리기술을 바탕으로 나라 산업에 기여하고 있어.
DB,12030,"DB는 예전 동부그룹에서 나온 지주회사야. IT서비스, 무역, 브랜드 관리 같은 일을 해. 금융 쪽 고객도 늘려가고 있어. 디지털 전환을 통해 경쟁력을 높이고 있어."
DB증권,16610,"DB증권은 금융투자 회사로, 주식이나 펀드 관련 일을 해. 다양한 투자 서비스를 하고 있어. 여러 자회사도 함께 운영하고 있어. 안정적이고 다양한 수익 모델을 만들어가고 있어."
DB손해보험,5830,DB손해보험은 자동차 보험에서 시작해서 지금은 종합 손해보험 회사야. 해외에도 진출해서 글로벌 보험사를 꿈꾸고 있어. 다양한 보험 상품을 판매해. 이름처럼 DB그룹 소속이야.
DB하이텍,990,DB하이텍은 반도체를 만드는 회사야. 웨이퍼를 주문받아 생산하는 파운드리 사업을 해. 전력반도체나 디스플레이 칩 같은 고부가 제품에 집중하고 있어. 계속해서 특화된 기술로 성장을 꾀하고 있어.
iM금융지주,139130,iM금융지주는 대구은행을 중심으로 만들어진 금융 지주회사야. 여러 금융 자회사를 거느리고 있어. 이름을 iM으로 바꾸며 새 출발했어. 글로벌 진출도 준비 중이야.
DH오토넥스,300,"DH오토넥스는 자동차 부품, 통신장비, 전기차 충전기 등을 만드는 회사야. 이름이 여러 번 바뀌었지만 미래 산업에 집중하고 있어. 전기차 인프라나 친환경 기술을 키우고 있어. DH그룹에 속해 있어."
디아이동일,1530,디아이동일은 섬유제품을 만들던 회사에서 시작했어. 지금은 알루미늄과 환경 관련 사업도 해. 섬유와 알루미늄이 주요 사업이야. R&D로 품질 높은 제품을 개발하고 있어.
DL,210,"DL은 예전에 대림산업이었고, 지금은 여러 회사를 거느린 지주회사야. 유화, 에너지, 투자사업을 하고 있어. 브랜드나 부동산 임대 같은 일로 돈을 벌어. 자회사 성장이 중요해."
DL이앤씨,375500,"DL이앤씨는 DL에서 건설부문이 떨어져 나온 회사야. 토목, 플랜트, 주택 등을 건설해. 해외에서도 여러 나라에 진출해 있어. 좋은 기술과 디자인으로 주거문화를 이끌어."
DN오토모티브,7340,DN오토모티브는 자동차 부품과 기계장비를 만드는 회사야. 최근에 동아타이어와 합병했어. 글로벌 사업도 활발하게 하고 있어. 기술력으로 시장을 선도해.
DRB동일,4840,DRB동일은 고무제품과 자동차 부품을 만드는 회사야. 지주회사로 전환해서 여러 사업을 관리하고 있어. 연구개발과 품질개선으로 경쟁력을 높이고 있어. 고무벨트로도 유명해.
DSR,155660,"DSR은 로프와 철강선을 만드는 회사야. 한국, 중국, 베트남, 미국 등에서 사업을 해. 고강도 섬유와 신소재 개발에 집중하고 있어. 고부가가치 제품을 생산하려고 해."
DSR제강,69730,"DSR제강은 와이어로프와 강선을 만드는 회사야. 발전, 건설 등에 필요한 선을 만들어. 새로운 제품 개발도 열심히 해. 원재료는 주로 포스코에서 받아."
DS단석,17860,"DS단석은 친환경 사업을 하는 회사야. 폐배터리, 바이오연료, 플라스틱 재활용 같은 걸 해. 자원순환을 위한 시스템을 구축하고 있어. 최근 상장된 신생 회사야."
E1,17940,E1은 가스(LPG)를 수입해서 팔고 있는 회사야. 국내외 지사를 운영하며 가스를 운송하고 있어. 베트남에 큰 터미널도 짓고 있어. 전기 사업으로도 확장 중이야.
ESR켄달스퀘어리츠,365550,
F&F,383220,"F&F는 옷 브랜드를 운영하는 회사야. MLB, 디스커버리 같은 브랜드가 유명해. 해외에도 진출해서 옷을 팔고 있어. 다양한 유통 채널에서 제품을 만나볼 수 있어."
F&F 홀딩스,7700,"F&F홀딩스는 F&F에서 투자만 따로 분리한 지주회사야. 브랜드 권리를 갖고 있고, 상표 사용료를 받아. 패션 스타트업 성장도 도와. 디지털 역량을 활용하고 있어."
GKL,114090,GKL은 외국인 전용 카지노를 운영하는 회사야. 서울과 부산에서 24시간 카지노를 해. 외국 손님들이 주요 고객이야. 관광 산업 전반으로 사업을 넓히려 하고 있어.
GS,78930,"GS는 LG에서 분리된 지주회사야. 에너지, 유통, 무역 자회사를 운영해. 브랜드 사용료나 배당으로 수익을 얻어. GS라는 이름을 잘 관리하는 역할도 해."
GS건설,6360,"GS건설은 아파트 브랜드 '자이'로 유명한 건설회사야. 건축, 플랜트, 인프라 등 다양한 건설을 해. 기술력과 디자인으로 좋은 집을 만들고 있어. 해외 사업도 함께 해."
GS글로벌,1250,"GS글로벌은 GS그룹의 종합무역상사야. 철강, 에너지, 수입차 관련 사업을 해. 해상풍력 같은 친환경 사업도 하고 있어. 전 세계에 지사를 두고 있어."
GS리테일,7070,GS리테일은 GS25 편의점과 GS더프레시 마트를 운영해. 홈쇼핑과 부동산 개발도 함께 하고 있어. 자회사를 통해 물류와 상품 경쟁력을 높이고 있어. 오프라인과 온라인 모두 잘 해.
GS피앤엘,499790,GS피앤엘은 호텔과 식품 관련 회사를 가진 지주회사야. 파르나스호텔과 고기 브랜드 후레쉬미트를 운영해. 호텔과 쇼핑몰 임대도 하고 있어. 실적은 자회사 영향이 커.
HDC,12630,"HDC는 현대산업개발에서 분리된 지주회사야. 건설, 유통, 발전 등 다양한 자회사를 관리해. 브랜드 수수료나 배당으로 수익을 얻어. 자회사 성장을 도와주는 역할을 해."
HDC랩스,39570,HDC랩스는 스마트홈과 시설 관리 같은 솔루션을 제공해. 건설 관련 기술도 함께 다뤄. 데이터와 IT기술을 활용한 서비스가 강점이야. 부동산 종합관리도 해.
HDC현대EP,89470,HDC현대EP는 플라스틱 소재를 만드는 회사야. 자동차나 전자제품에 쓰이는 재료를 만들어. 친환경 소재도 확대하고 있어. CJ와 합작해 ESG 경영도 실천 중이야.
HDC현대산업개발,294870,"HDC현대산업개발은 주택 브랜드 'IPARK'로 유명해. 아파트, 토목공사, 건축 등을 해. 고급 주택과 에너지 절약 주택 개발에도 힘쓰고 있어. 국내 건설회사 중 상위권이야."
HD한국조선해양,9540,"HD한국조선해양은 조선소 그룹의 지주회사야. 선박, 해양플랜트, 엔진 등을 만드는 자회사가 있어. 수소 선박 같은 친환경 기술도 개발 중이야. 미래 해양산업을 이끄는 회사야."
HD현대,267250,"HD현대는 HD한국조선해양에서 분리된 지주회사야. 조선, 정유, 전기전자 등 다양한 산업을 가진 자회사들이 있어. 선박, 로봇, 건설기계까지 다뤄. 여러 산업을 연결하는 중심 회사야."
HD현대건설기계,267270,HD현대건설기계는 굴삭기 같은 건설장비를 만드는 회사야. 국내와 해외에서 생산하고 팔고 있어. 기술개발에도 힘써서 성능을 높이고 있어. 건설현장에서 쓰이는 기계를 더 똑똑하게 만들고 있어.
HD현대마린솔루션,443060,HD현대마린솔루션은 선박 서비스와 부품을 공급하는 회사야. 친환경 기술이나 디지털 솔루션도 함께 제공해. HD현대 선박의 보증도 담당해. 환경을 생각하는 유지보수 회사야.
HD현대마린엔진,71970,HD현대마린엔진은 배에 들어가는 엔진을 만드는 회사야. 디젤이나 가스 엔진을 만들고 부품도 함께 생산해. 환경규제에 대응하려고 새 투자도 검토 중이야. 창원에 본사가 있어.
HD현대미포,10620,"HD현대미포는 중형 선박을 잘 만드는 조선소야. 화학운반선이나 컨테이너선이 주력이고, 고부가가치 선박도 건조해. 베트남과 함께 조선사업을 키우고 있어. 이중연료선 같은 친환경 선박 개발에 집중하고 있어."
HD현대에너지솔루션,322000,"HD현대에너지솔루션은 태양광 관련 제품을 만드는 회사야. 셀, 모듈, 인버터 같은 제품을 만들고 있어. R&D에 많이 투자해서 기술력이 좋아. 글로벌 회사들과도 협력 중이야."
HD현대인프라코어,42670,"HD현대인프라코어는 건설기계와 엔진을 만드는 회사야. 군산, 인천 등에서 제품을 만들고 있어. 무인화 기술에도 관심이 많아. 건설 현장의 효율을 높이려고 해."
HD현대일렉트릭,267260,HD현대일렉트릭은 전기 장비를 만드는 회사야. 발전소부터 가정까지 쓰이는 장비를 만들어. 신재생에너지에 쓰이는 기술도 개발하고 있어. 탄소중립을 위한 에너지 사업에도 힘쓰고 있어.
HD현대중공업,329180,"HD현대중공업은 HD한국조선해양에서 분할되어 설립된 조선업체로, 상선, 가스선, 해양 선박, 군함 등을 설계하고 건조해. 해양플랜트 사업도 병행하면서 원유 생산 및 저장 설비를 제공하고, 엔진기계사업에서는 대형엔진과 발전설비를 생산해. 특히 수소나 암모니아를 연료로 사용하는 친환경 선박 개발을 통해 미래 선박시장에 대비하고 있어."
HJ중공업,97230,"HJ중공업은 한진중공업홀딩스에서 인적분할돼 설립된 회사로, 조선과 건설 분야를 아우르고 있어. 조선부문에서는 방산 함정과 특수선, 신조선을 중심으로 기술력을 축적하고 있고, 건설부문에서는 도로와 건축, 플랜트 시공을 수행해. 자회사로 인천북항운영을 두고 항만사업도 함께 진행 중이야."
HL D&I,14790,"HL D&I는 건설 전문기업으로, 도로, 아파트, 건축물 시공이 주 사업이야. 부동산 개발과 항만시설 운영, 물류 및 임대업도 하고 있으며, 최근엔 디지털 전환과 플랫폼 스타트업 등에 전략적으로 투자하면서 새로운 성장 동력을 찾고 있어."
HLB글로벌,3580,"HLB글로벌은 미디어커머스, 자원개발, 식품과 음료 등 다양한 산업에 진출해 있어. 차량용품, 향수 같은 소비재를 미디어 콘텐츠를 통해 홍보하고 직접 판매하며, 골재생산과 산림탄소상쇄 같은 친환경 자원사업도 수행해. 소비자 데이터를 활용한 퍼포먼스 마케팅에도 집중하고 있어."
HL만도,204320,"HL만도는 제동장치, 조향장치, 현가장치 같은 자동차 핵심 부품을 설계하고 생산하는 업체로, 자율주행 관련 ADAS 시스템도 개발 중이야. 국내와 해외에 걸쳐 20개 이상의 생산시설과 연구소를 운영하며 글로벌 완성차 업체와 협업하고 있어."
HL홀딩스,60980,"HL홀딩스는 HL만도 등 계열사들을 지배하는 지주회사로, 자동차 부품·용품 유통과 포장, 수입통관, 운송 등 전반적인 밸류체인 서비스를 제공해. 사업지주로서 자회사 경영지도와 브랜드 관리도 맡고 있어."
HMM,11200,"HMM은 해운물류 전문회사로, 초대형 컨테이너선과 원유 운반선(VLCC)을 포함한 대형 선대를 보유하고 있어. 전 세계 항로망을 운영하면서 일반화물부터 특수화물까지 다양한 해상 물류 서비스를 제공하며, 메탄올 선박 발주와 바이오연료 운항 등 친환경 운송체계로 전환 중이야."
HS애드,35000,"HS애드는 광고 제작과 매체 집행을 주요 사업으로 하는 회사로, 전 세계 11개 해외법인과 29개의 지점을 통해 글로벌 네트워크를 확장하고 있어. 디지털화 전략을 중심으로 디지털 광고사업의 비중을 늘려가며 새로운 광고시장을 공략하고 있어."
HS화성,2460,"HS화성은 대구·경북 기반의 종합건설사로, 건축, 토목, 분양 등 다양한 건설 사업을 수행하고 있어. 친환경 아파트 브랜드 '화성파크드림'을 전국적으로 확장하고 있으며, ISO 품질·환경·안전경영 인증을 바탕으로 철저한 품질관리를 하고 있어."
HS효성,487570,"HS효성은 효성그룹의 지주회사로, 다양한 자회사를 통해 모빌리티, 친환경소재, 무역, 물류 등 여러 사업을 운영해. 새로운 성장산업과 인수합병(M&A)을 통해 사업영역을 확장하며, 기업가치를 높이기 위해 지속적으로 혁신을 추구하고 있어."
HS효성첨단소재,298050,"HS효성첨단소재는 타이어보강재, 탄소섬유, 아라미드 같은 고기능성 산업자재를 중심으로 사업을 영위해. R&D에 지속적으로 투자해 신소재 기술력을 확보하고 있고, 글로벌 수요에 맞춰 생산 및 수출도 활발하게 이루어지고 있어."
