종목코드,주주구분,대표 주주수,보통주,지분율,최종변동일
A095570,최대주주등 (본인+특별관계자),1.0,26794111.0,59.21,2025/03/26
A095570,10%이상주주 (본인+특별관계자),,,,
A095570,5%이상주주 (본인+특별관계자),,,,
A095570,"임원 (5%미만 중, 임원인자)",10.0,143916.0,0.32,2024/07/09
A095570,자기주식 (자사주+자사주신탁),1.0,501709.0,1.11,2024/08/06
A095570,우리사주조합,1.0,187425.0,0.41,2023/12/31
A006840,최대주주등 (본인+특별관계자),1.0,8635613.0,65.19,2025/03/31
A006840,10%이상주주 (본인+특별관계자),,,,
A006840,5%이상주주 (본인+특별관계자),,,,
A006840,"임원 (5%미만 중, 임원인자)",1.0,1693.0,0.01,2024/03/22
A006840,자기주식 (자사주+자사주신탁),1.0,202066.0,1.53,2018/04/23
A006840,우리사주조합,1.0,28563.0,0.22,2024/06/30
A027410,최대주주등 (본인+특별관계자),1.0,66742767.0,69.73,2025/03/26
A027410,10%이상주주 (본인+특별관계자),,,,
A027410,5%이상주주 (본인+특별관계자),,,,
A027410,"임원 (5%미만 중, 임원인자)",3.0,1807.0,0.0,2022/12/01
A027410,자기주식 (자사주+자사주신탁),1.0,8025.0,0.01,2022/03/31
A027410,우리사주조합,1.0,1422.0,0.0,2024/06/30
A282330,최대주주등 (본인+특별관계자),1.0,9038139.0,52.29,2025/03/26
A282330,10%이상주주 (본인+특별관계자),,,,
A282330,5%이상주주 (본인+특별관계자),1.0,1428871.0,8.27,2025/02/18
A282330,"임원 (5%미만 중, 임원인자)",6.0,15524.0,0.09,2023/11/17
A282330,자기주식 (자사주+자사주신탁),1.0,8891.0,0.05,2018/11/15
A282330,우리사주조합,,,,
A138930,최대주주등 (본인+특별관계자),1.0,33562072.0,10.54,2024/02/19
A138930,10%이상주주 (본인+특별관계자),,,,
A138930,5%이상주주 (본인+특별관계자),3.0,67790220.0,21.29,2025/03/04
A138930,"임원 (5%미만 중, 임원인자)",50.0,782100.0,0.25,2025/04/16
A138930,자기주식 (자사주+자사주신탁),1.0,3438392.0,1.08,2025/05/09
A138930,우리사주조합,1.0,13306211.0,4.18,2024/06/30
A001460,최대주주등 (본인+특별관계자),1.0,4460017.0,71.4,2025/04/14
A001460,10%이상주주 (본인+특별관계자),,,,
A001460,5%이상주주 (본인+특별관계자),1.0,507800.0,8.13,2024/04/17
A001460,"임원 (5%미만 중, 임원인자)",2.0,50.0,0.0,2024/07/01
A001460,자기주식 (자사주+자사주신탁),1.0,27133.0,0.43,2025/03/04
A001460,우리사주조합,,,,
A001040,최대주주등 (본인+특별관계자),1.0,13790081.0,47.26,2022/02/04
A001040,10%이상주주 (본인+특별관계자),1.0,3700912.0,12.68,2025/03/27
A001040,5%이상주주 (본인+특별관계자),,,,
A001040,"임원 (5%미만 중, 임원인자)",4.0,968.0,0.0,2020/12/14
A001040,자기주식 (자사주+자사주신탁),1.0,2118543.0,7.26,2024/06/28
A001040,우리사주조합,1.0,1338.0,0.0,2024/06/30
A079160,최대주주등 (본인+특별관계자),1.0,84284313.0,50.9,2025/03/25
A079160,10%이상주주 (본인+특별관계자),,,,
A079160,5%이상주주 (본인+특별관계자),,,,
A079160,"임원 (5%미만 중, 임원인자)",2.0,480.0,0.0,2018/10/31
A079160,자기주식 (자사주+자사주신탁),,,,
A079160,우리사주조합,1.0,7478959.0,4.52,2023/12/31
A000120,최대주주등 (본인+특별관계자),1.0,9169122.0,40.19,2025/04/01
A000120,10%이상주주 (본인+특별관계자),1.0,2620662.0,11.49,2025/04/28
A000120,5%이상주주 (본인+특별관계자),1.0,1791044.0,7.85,2020/10/27
A000120,"임원 (5%미만 중, 임원인자)",41.0,13821.0,0.06,2025/02/03
A000120,자기주식 (자사주+자사주신탁),1.0,2867215.0,12.57,2023/12/28
A000120,우리사주조합,,,,
A011150,최대주주등 (본인+특별관계자),1.0,16714090.0,46.52,2007/09/04
A011150,10%이상주주 (본인+특별관계자),,,,
A011150,5%이상주주 (본인+특별관계자),,,,
A011150,"임원 (5%미만 중, 임원인자)",,,,
A011150,자기주식 (자사주+자사주신탁),,,,
A011150,우리사주조합,,,,
A097950,최대주주등 (본인+특별관계자),1.0,6850948.0,45.51,2018/04/20
A097950,10%이상주주 (본인+특별관계자),1.0,1756460.0,11.67,2025/03/27
A097950,5%이상주주 (본인+특별관계자),,,,
A097950,"임원 (5%미만 중, 임원인자)",31.0,20161.0,0.13,2021/12/30
A097950,자기주식 (자사주+자사주신탁),1.0,357307.0,2.37,2024/06/28
A097950,우리사주조합,1.0,29132.0,0.19,2023/12/31
A000480,최대주주등 (본인+특별관계자),1.0,34988792.0,74.62,2024/12/16
A000480,10%이상주주 (본인+특별관계자),,,,
A000480,5%이상주주 (본인+특별관계자),,,,
A000480,"임원 (5%미만 중, 임원인자)",1.0,3513.0,0.01,2023/02/01
A000480,자기주식 (자사주+자사주신탁),1.0,5633938.0,12.02,2023/07/28
A000480,우리사주조합,1.0,3165.0,0.01,2023/12/31
A000590,최대주주등 (본인+특별관계자),1.0,846990.0,73.37,2018/08/29
A000590,10%이상주주 (본인+특별관계자),,,,
A000590,5%이상주주 (본인+특별관계자),,,,
A000590,"임원 (5%미만 중, 임원인자)",,,,
A000590,자기주식 (자사주+자사주신탁),1.0,124851.0,10.81,2025/01/06
A000590,우리사주조합,1.0,142.0,0.01,2010/01/27
A012030,최대주주등 (본인+특별관계자),1.0,88204720.0,43.85,2022/12/26
A012030,10%이상주주 (본인+특별관계자),,,,
A012030,5%이상주주 (본인+특별관계자),,,,
A012030,"임원 (5%미만 중, 임원인자)",1.0,23540.0,0.01,2017/01/02
A012030,자기주식 (자사주+자사주신탁),1.0,10143400.0,5.04,2016/05/18
A012030,우리사주조합,1.0,16050.0,0.01,2023/03/31
A016610,최대주주등 (본인+특별관계자),1.0,14346436.0,33.8,2025/04/07
A016610,10%이상주주 (본인+특별관계자),,,,
A016610,5%이상주주 (본인+특별관계자),,,,
A016610,"임원 (5%미만 중, 임원인자)",31.0,362129.0,0.85,2025/04/07
A016610,자기주식 (자사주+자사주신탁),2.0,2817500.0,6.64,2025/04/29
A016610,우리사주조합,1.0,40810.0,0.1,2024/03/31
A005830,최대주주등 (본인+특별관계자),1.0,16463977.0,23.25,2025/04/04
A005830,10%이상주주 (본인+특별관계자),,,,
A005830,5%이상주주 (본인+특별관계자),1.0,5101571.0,7.21,2025/01/21
A005830,"임원 (5%미만 중, 임원인자)",22.0,11148.0,0.02,2025/04/03
A005830,자기주식 (자사주+자사주신탁),1.0,10756531.0,15.19,2020/06/10
A005830,우리사주조합,,,,
A000990,최대주주등 (본인+특별관계자),1.0,10621203.0,23.92,2025/04/29
A000990,10%이상주주 (본인+특별관계자),,,,
A000990,5%이상주주 (본인+특별관계자),2.0,5457909.0,12.29,2025/04/04
A000990,"임원 (5%미만 중, 임원인자)",15.0,21342.0,0.05,2025/02/12
A000990,자기주식 (자사주+자사주신탁),2.0,3944596.0,8.88,2025/04/11
A000990,우리사주조합,1.0,627.0,0.0,2021/12/31
A139130,최대주주등 (본인+특별관계자),1.0,16146178.0,9.7,2024/03/14
A139130,10%이상주주 (본인+특별관계자),,,,
A139130,5%이상주주 (본인+특별관계자),2.0,21505943.0,12.92,2025/02/19
A139130,"임원 (5%미만 중, 임원인자)",37.0,438767.0,0.26,2025/04/14
A139130,자기주식 (자사주+자사주신탁),2.0,4319629.0,2.6,2025/04/28
A139130,우리사주조합,1.0,6194528.0,3.72,2024/03/31
A000300,최대주주등 (본인+특별관계자),1.0,58279230.0,71.55,2025/02/18
A000300,10%이상주주 (본인+특별관계자),,,,
A000300,5%이상주주 (본인+특별관계자),,,,
A000300,"임원 (5%미만 중, 임원인자)",,,,
A000300,자기주식 (자사주+자사주신탁),,,,
A000300,우리사주조합,,,,
A001530,최대주주등 (본인+특별관계자),1.0,5033512.0,24.75,2025/03/28
A001530,10%이상주주 (본인+특별관계자),,,,
A001530,5%이상주주 (본인+특별관계자),1.0,1587536.0,7.81,2025/03/27
A001530,"임원 (5%미만 중, 임원인자)",5.0,46066.0,0.23,2025/04/07
A001530,자기주식 (자사주+자사주신탁),1.0,618569.0,3.04,2025/02/19
A001530,우리사주조합,,,,
A000210,최대주주등 (본인+특별관계자),1.0,10339460.0,49.34,2024/11/25
A000210,10%이상주주 (본인+특별관계자),1.0,2233944.0,10.66,2025/03/26
A000210,5%이상주주 (본인+특별관계자),,,,
A000210,"임원 (5%미만 중, 임원인자)",8.0,1315.0,0.01,2023/03/21
A000210,자기주식 (자사주+자사주신탁),1.0,25157.0,0.12,2023/06/30
A000210,우리사주조합,1.0,176.0,0.0,2022/09/30
A375500,최대주주등 (본인+특별관계자),1.0,9605194.0,24.82,2025/02/12
A375500,10%이상주주 (본인+특별관계자),1.0,4493958.0,11.61,2025/03/27
A375500,5%이상주주 (본인+특별관계자),1.0,2845241.0,7.35,2025/01/21
A375500,"임원 (5%미만 중, 임원인자)",3.0,4165.0,0.01,2024/04/30
A375500,자기주식 (자사주+자사주신탁),1.0,348553.0,0.9,2024/12/27
A375500,우리사주조합,,,,
A007340,최대주주등 (본인+특별관계자),1.0,30521565.0,52.16,2024/10/08
A007340,10%이상주주 (본인+특별관계자),,,,
A007340,5%이상주주 (본인+특별관계자),,,,
A007340,"임원 (5%미만 중, 임원인자)",,,,
A007340,자기주식 (자사주+자사주신탁),1.0,6748595.0,11.53,2025/02/13
A007340,우리사주조합,,,,
A004840,최대주주등 (본인+특별관계자),1.0,13900384.0,69.75,2022/04/05
A004840,10%이상주주 (본인+특별관계자),,,,
A004840,5%이상주주 (본인+특별관계자),,,,
A004840,"임원 (5%미만 중, 임원인자)",,,,
A004840,자기주식 (자사주+자사주신탁),1.0,657636.0,3.3,2012/10/19
A004840,우리사주조합,,,,
A155660,최대주주등 (본인+특별관계자),1.0,9996630.0,62.48,2025/02/03
A155660,10%이상주주 (본인+특별관계자),,,,
A155660,5%이상주주 (본인+특별관계자),,,,
A155660,"임원 (5%미만 중, 임원인자)",,,,
A155660,자기주식 (자사주+자사주신탁),,,,
A155660,우리사주조합,1.0,5696.0,0.04,2017/12/28
A069730,최대주주등 (본인+특별관계자),1.0,7427568.0,51.58,2025/02/03
A069730,10%이상주주 (본인+특별관계자),,,,
A069730,5%이상주주 (본인+특별관계자),,,,
A069730,"임원 (5%미만 중, 임원인자)",,,,
A069730,자기주식 (자사주+자사주신탁),,,,
A069730,우리사주조합,,,,
A017860,최대주주등 (본인+특별관계자),1.0,7026914.0,39.96,2024/12/10
A017860,10%이상주주 (본인+특별관계자),,,,
A017860,5%이상주주 (본인+특별관계자),,,,
A017860,"임원 (5%미만 중, 임원인자)",,,,
A017860,자기주식 (자사주+자사주신탁),,,,
A017860,우리사주조합,,,,
A017940,최대주주등 (본인+특별관계자),1.0,3111875.0,45.36,2023/07/24
A017940,10%이상주주 (본인+특별관계자),,,,
A017940,5%이상주주 (본인+특별관계자),,,,
A017940,"임원 (5%미만 중, 임원인자)",,,,
A017940,자기주식 (자사주+자사주신탁),1.0,1078249.0,15.72,2017/07/26
A017940,우리사주조합,1.0,3764.0,0.05,2019/12/31
A365550,개인/법인,,,,
A365550,주요외국인주주,,,,
A365550,기관투자자,,,,
A365550,정부/정부기관,,,,
A365550,자사주,,,,
A365550,자사주펀드,,,,
A365550,해외DR,,,,
A383220,최대주주등 (본인+특별관계자),1.0,24063000.0,62.82,2024/09/24
A383220,10%이상주주 (본인+특별관계자),,,,
A383220,5%이상주주 (본인+특별관계자),2.0,5768600.0,15.06,2025/05/08
A383220,"임원 (5%미만 중, 임원인자)",,,,
A383220,자기주식 (자사주+자사주신탁),2.0,729302.0,1.9,2025/04/09
A383220,우리사주조합,,,,
A007700,최대주주등 (본인+특별관계자),1.0,35870866.0,91.71,2024/02/28
A007700,10%이상주주 (본인+특별관계자),,,,
A007700,5%이상주주 (본인+특별관계자),,,,
A007700,"임원 (5%미만 중, 임원인자)",,,,
A007700,자기주식 (자사주+자사주신탁),1.0,44474.0,0.11,2021/05/21
A007700,우리사주조합,,,,
A114090,최대주주등 (본인+특별관계자),1.0,31546392.0,51.0,2010/12/10
A114090,10%이상주주 (본인+특별관계자),,,,
A114090,5%이상주주 (본인+특별관계자),1.0,4230293.0,6.84,2025/02/17
A114090,"임원 (5%미만 중, 임원인자)",,,,
A114090,자기주식 (자사주+자사주신탁),,,,
